workflow_file,workflow_name,role,trigger,workflow_call_dependency,latest_observed_run_id,latest_observed_date,latest_conclusion,retention_policy,active_reference_summary,recommended_disposition,review_note
pnjl-dense-reference-replay.yml,PNJL Dense Reference Postprocess Replay,production,workflow_dispatch,"pnjl-dense-reference-assess-xi.yml",30150515573,2026-07-25,success,configurable artifact retention,docs and dense reference replay SOP,retain_production,solver-free postprocess entry
pnjl-dense-reference-resume.yml,PNJL Dense Reference Source Resume,production,workflow_dispatch,"pnjl-dense-reference-assess-xi.yml;pnjl-dense-reference-shard.yml",29992688367,2026-07-23,success,configurable artifact retention,docs and source-resume SOP,retain_production,failed-shard recovery entry
pnjl-dense-reference-shard.yml,PNJL Dense Reference Xi Shard,reusable,workflow_call,,n/a,n/a,n/a,configurable artifact retention,called by dense reference/resume,retain_reusable,internal shard job
pnjl-dense-reference.yml,PNJL Dense Reference,production,"workflow_dispatch",pnjl-dense-reference-shard.yml;pnjl-dense-reference-assess-xi.yml,31862752226,2026-08-15,success,configurable artifact retention,scripts/pnjl/plan_dense_reference_action.py;docs/guides,retain_production,authoritative dense reference entry
pnjl-issue130-crossover-mu-endpoint-expansion.yml,PNJL Issue130 Crossover Mu Endpoint Expansion,diagnostic,"workflow_dispatch",,32255786553,2026-08-19,success,90 days,no active repository reference found,retirement_candidate_review,aggregate replay artifact and endpoint evidence must be preserved
pnjl-issue130-crossover-mu-endpoint-pilot.yml,PNJL Issue130 Crossover Mu Endpoint Pilot,diagnostic,"workflow_dispatch",,32139943632,2026-08-18,success,90 days,config/governance/task_tracks.toml;archived evidence pointer,preserve_historical_replay,pilot provenance retained by ledger
pnjl-issue130-maxwell-cep-local-expansion.yml,PNJL Issue130 Maxwell CEP-local Expansion,diagnostic,"workflow_dispatch",,32451053476,2026-08-21,success,90 days,tests/unit/python/test_pnjl_issue130_maxwell_cep_local_pilot.py,preserve_historical_replay,real Maxwell increment evidence
pnjl-issue130-maxwell-cep-local-pilot.yml,PNJL Issue130 Maxwell CEP-local Pilot,diagnostic,"workflow_dispatch",,32237794907,2026-08-19,success,90 days,tests/unit/python/test_pnjl_issue130_maxwell_cep_local_pilot.py,preserve_historical_replay,pilot provenance retained
pnjl-maxwell-endpoint-local-production-shadow-v4.yml,PNJL Maxwell endpoint-local production shadow v4,diagnostic,"workflow_dispatch",,31714535418,2026-08-13,success,30 days,tests/unit/python/test_pnjl_cep_hybrid_production_shadow.py,preserve_historical_replay,endpoint-local replay evidence
pnjl-maxwell-endpoint-production-shadow.yml,PNJL Maxwell endpoint-limit production shadow,diagnostic,"workflow_dispatch",,30999377195,2026-08-05,success,30 days,tests/unit/python/test_pnjl_endpoint_local_contract_feasibility_v2.py,preserve_historical_replay,ten artifacts currently unexpired
pnjl-maxwell-endpoint-refinement.yml,PNJL Maxwell endpoint refinement,diagnostic,"workflow_dispatch",,30980094983,2026-08-05,success,90 days,tests/unit/python/test_pnjl_maxwell_endpoint_candidate.py,preserve_historical_replay,two refinement artifacts currently unexpired
pnjl-phase-diagram.yml,PNJL Phase Diagram,legacy_audit,"workflow_dispatch",,20690920271,2026-01-04,success,90 days,scripts/analysis/pnjl/audit_issue130_phase_reference_legacy_retirement.py,retain_legacy_audit,old workflow still appears in audit provenance
pnjl-raw-curve-archive-shard.yml,PNJL Raw Curve Archive Xi Shard,reusable,workflow_call,,n/a,n/a,n/a,90 days,called by pnjl-raw-curve-archive.yml,retain_reusable,external archive shard
pnjl-raw-curve-archive-zenodo-draft.yml,PNJL raw curve archive - Zenodo draft,archive_recovery,"workflow_dispatch",,n/a,n/a,n/a,90 days,external archive pointer and release procedure,retain_archive_recovery,manual external archive operation
pnjl-raw-curve-archive-zenodo-restore.yml,PNJL raw curve archive - Zenodo restore verification,archive_recovery,"workflow_dispatch",,n/a,n/a,n/a,90 days,external archive pointer and restore test,retain_archive_recovery,recovery path
pnjl-raw-curve-archive.yml,PNJL Raw Curve Archive,archive_recovery,"workflow_dispatch;push",pnjl-raw-curve-archive-shard.yml,32013771445,2026-08-17,success,90 days,docs/analysis/pnjl/raw_curve_archive_v1;tests,retain_archive_recovery,retention production entry
pnjl-stagec-density-certificate-feasibility-v2.yml,PNJL Stage-C Density Certificate Feasibility v2,diagnostic,"workflow_dispatch",,31315017019,2026-08-09,success,90 days,tests/unit/python/test_pnjl_stagec_density_certificate_feasibility_v2.py,preserve_historical_replay,latest versioned diagnostic contract
pnjl-stagec-density-certificate-feasibility.yml,PNJL Stage-C Density Certificate Feasibility,diagnostic,"workflow_dispatch",,31313661297,2026-08-09,failure,30 days,tests/unit/python/test_pnjl_stagec_density_certificate_feasibility.py;tests/unit/models,retirement_candidate_review,legacy v1 definition is superseded; migrate tests and retain failure provenance first
precompile-trace-budget.yml,precompile-trace-budget,scheduled,"workflow_dispatch;schedule",,33301570153,2026-08-30,success,30 days,scripts/dev/precompile and benchmark governance,retain_scheduled,scheduled performance guard
relaxtime-issue130-rs-numerical-pilot-v1.yml,Issue130 RS numerical pilot v1,diagnostic,"workflow_dispatch",,32684074876,2026-08-24,failure,configurable artifact retention,archived RS audit and tests,retirement_candidate_review,failed run is evidence not a deletion reason
relaxtime-manual-scans.yml,Relaxtime Manual Scans,production,"workflow_dispatch",,n/a,n/a,n/a,30 days,docs/guides/scripts/README.md;manual workflow entry,retain_production,stable manual scan entry
relaxtime-meson-density-production.yml,Relaxtime Meson Density Production,production,"workflow_dispatch",,27115936651,2026-06-08,success,30 days,docs and formal result manifests,retain_production,formal meson production entry
relaxtime-phase-guided-transport-production.yml,Relaxtime Phase-Guided Transport Production,production,"workflow_dispatch",,33295866849,2026-08-30,success,configurable artifact retention,data/outputs/results;active transport docs,retain_production,active transport producer
sysimage-release.yml,sysimage-release,production,"workflow_dispatch",,n/a,n/a,n/a,30 days,scripts/dev/build_sysimage.jl,retain_production,release support
task-ledger-governance.yml,task-ledger-governance,governance,"workflow_dispatch;pull_request;push",,33318153465,2026-08-30,success,30 days,config/governance/task_tracks.toml;scripts/dev/check_task_ledger.jl,retain_governance,ledger gate
unit-smoke.yml,unit-smoke,governance,"workflow_dispatch;pull_request;push",,33318153430,2026-08-30,success,30 days,tests/unit/**,retain_governance,fast deterministic smoke gate
